display(log)
check(D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/sim_model1_3/../model1.txt)
model is syntactically correct
data(D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/sim_model1_3/data.txt)
data loaded
compile(2)
model compiled
inits(1,D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/sim_model1_3/inits1.txt)
this chain contains uninitialized variables
inits(2,D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/sim_model1_3/inits2.txt)
this chain contains uninitialized variables
gen.inits()
initial values generated, model initialized
thin.updater(1)
update(2500)
set(mu.y1)
set(mu.y2)
set(lam1)
set(lam2)
set(sgm1)
set(sgm2)
set(sgd1)
set(sgd2)
set(gam1)
set(gam2)
set(phx1)
set(phx2)
set(deviance)
dic.set()
update(2500)
coda(*,D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/sim_model1_3/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	deviance	44640.0	223.0	16.92	44210.0	44640.0	45090.0	2501	5000
	gam1[1]	0.4981	0.08781	0.005539	0.3274	0.4961	0.6774	2501	5000
	gam1[2]	0.2329	0.08835	0.004501	0.06663	0.2302	0.4144	2501	5000
	gam1[3]	0.6595	0.08914	0.005059	0.4875	0.6573	0.8437	2501	5000
	gam2[1]	0.5417	0.0831	0.005929	0.3906	0.5365	0.7133	2501	5000
	gam2[2]	0.2973	0.08282	0.005132	0.1421	0.2951	0.4648	2501	5000
	gam2[3]	0.6959	0.08286	0.005429	0.536	0.6968	0.8646	2501	5000
	lam1[1]	0.8572	0.1082	0.007561	0.6505	0.8552	1.079	2501	5000
	lam1[2]	0.7696	0.09242	0.006577	0.5923	0.7671	0.959	2501	5000
	lam1[3]	0.8056	0.09767	0.006628	0.6264	0.8019	1.005	2501	5000
	lam1[4]	0.8378	0.1117	0.007788	0.6369	0.8313	1.07	2501	5000
	lam1[5]	1.211	0.09186	0.005835	1.043	1.206	1.403	2501	5000
	lam1[6]	1.388	0.1007	0.006531	1.2	1.384	1.605	2501	5000
	lam1[7]	1.434	0.1047	0.006738	1.235	1.433	1.647	2501	5000
	lam1[8]	1.303	0.09924	0.006216	1.12	1.298	1.515	2501	5000
	lam1[9]	0.3085	0.01725	4.457E-4	0.2752	0.3087	0.342	2501	5000
	lam1[10]	0.3332	0.01803	4.882E-4	0.2989	0.333	0.3687	2501	5000
	lam1[11]	0.3209	0.01743	4.708E-4	0.2868	0.3211	0.3544	2501	5000
	lam1[12]	0.298	0.01753	4.429E-4	0.264	0.2981	0.3322	2501	5000
	lam1[13]	0.3081	0.01716	4.133E-4	0.2757	0.3079	0.3429	2501	5000
	lam2[1]	1.137	0.1224	0.009614	0.9185	1.128	1.385	2501	5000
	lam2[2]	1.324	0.1246	0.009787	1.102	1.315	1.588	2501	5000
	lam2[3]	1.427	0.1532	0.01285	1.159	1.422	1.736	2501	5000
	lam2[4]	1.329	0.1398	0.01116	1.077	1.319	1.63	2501	5000
	lam2[5]	0.8893	0.06622	0.004016	0.7651	0.8875	1.03	2501	5000
	lam2[6]	0.7514	0.05855	0.003168	0.6406	0.7492	0.8683	2501	5000
	lam2[7]	0.8534	0.07198	0.00436	0.7193	0.8505	1.005	2501	5000
	lam2[8]	0.7549	0.06743	0.003884	0.6239	0.7539	0.8882	2501	5000
	lam2[9]	0.5383	0.01819	5.062E-4	0.503	0.5382	0.5743	2501	5000
	lam2[10]	0.5213	0.01869	5.135E-4	0.4843	0.5214	0.5587	2501	5000
	lam2[11]	0.5509	0.01825	4.992E-4	0.5159	0.5506	0.5879	2501	5000
	lam2[12]	0.5122	0.01847	4.888E-4	0.4766	0.5123	0.5482	2501	5000
	lam2[13]	0.4894	0.01807	4.574E-4	0.4543	0.4893	0.5254	2501	5000
	mu.y1[1]	0.1462	0.08021	0.005393	-0.01947	0.1488	0.2971	2501	5000
	mu.y1[2]	0.1867	0.07667	0.004457	0.03067	0.1907	0.3295	2501	5000
	mu.y1[3]	0.1178	0.07827	0.004388	-0.04222	0.1214	0.2655	2501	5000
	mu.y1[4]	0.2354	0.06216	0.003405	0.1056	0.239	0.348	2501	5000
	mu.y1[5]	0.1459	0.07529	0.00427	-0.009859	0.1505	0.2802	2501	5000
	mu.y1[6]	0.06584	0.08038	0.00463	-0.09484	0.06753	0.2148	2501	5000
	mu.y1[7]	0.08528	0.05734	0.003102	-0.02663	0.08613	0.1929	2501	5000
	mu.y1[8]	0.04218	0.06796	0.003707	-0.0941	0.04495	0.1658	2501	5000
	mu.y1[9]	-0.00546	0.07769	0.003969	-0.1682	-0.002926	0.1383	2501	5000
	mu.y1[10]	0.1102	0.07936	0.004237	-0.04855	0.1111	0.261	2501	5000
	mu.y1[11]	0.03704	0.07709	0.003774	-0.1222	0.03924	0.1832	2501	5000
	mu.y1[12]	0.1334	0.03498	0.001777	0.06499	0.1333	0.2021	2501	5000
	mu.y1[13]	0.09899	0.0169	5.522E-4	0.0652	0.09932	0.1313	2501	5000
	mu.y1[14]	0.1071	0.01768	6.213E-4	0.07239	0.1074	0.1419	2501	5000
	mu.y1[15]	0.1192	0.01735	5.93E-4	0.08521	0.1194	0.1526	2501	5000
	mu.y1[16]	0.0951	0.01701	5.68E-4	0.06087	0.09508	0.1272	2501	5000
	mu.y1[17]	0.112	0.01699	5.647E-4	0.07828	0.1121	0.1449	2501	5000
	mu.y2[1]	0.005441	0.08808	0.006817	-0.181	0.009774	0.1676	2501	5000
	mu.y2[2]	0.04592	0.08349	0.006355	-0.1281	0.05328	0.1924	2501	5000
	mu.y2[3]	-0.01532	0.0934	0.006748	-0.2063	-0.01397	0.1543	2501	5000
	mu.y2[4]	-0.005176	0.09122	0.006447	-0.1955	-0.001	0.161	2501	5000
	mu.y2[5]	0.06577	0.09618	0.00716	-0.1376	0.06882	0.2448	2501	5000
	mu.y2[6]	-0.0211	0.1001	0.007277	-0.2455	-0.01542	0.154	2501	5000
	mu.y2[7]	-0.02903	0.05524	0.002748	-0.1391	-0.02772	0.07983	2501	5000
	mu.y2[8]	0.03883	0.05489	0.002881	-0.07492	0.04085	0.1392	2501	5000
	mu.y2[9]	0.03519	0.05495	0.002827	-0.07736	0.03779	0.1384	2501	5000
	mu.y2[10]	-0.06327	0.06642	0.003534	-0.2019	-0.05888	0.05736	2501	5000
	mu.y2[11]	-0.06606	0.06047	0.00284	-0.1915	-0.06423	0.05	2501	5000
	mu.y2[12]	0.04077	0.03316	0.002022	-0.02515	0.04102	0.1071	2501	5000
	mu.y2[13]	0.02736	0.02128	0.001094	-0.01454	0.02749	0.06962	2501	5000
